x, y, validity, timestamp (us)
544.03, 203.378, 1, 177630811574
544.326, 203.063, 1, 177630841911
544.586, 202.695, 1, 177630872257
552.053, 202.21, 1, 177630902305
567.451, 200.379, 1, 177630932802
585.919, 199.152, 1, 177630962715
604.036, 196.921, 1, 177630993213
619.66, 196.566, 1, 177631023118
633.672, 195.73, 1, 177631053615
668.686, 217.777, 1, 177631083510
860.266, 339.636, 1, 177631114077
1037.5, 457.721, 1, 177631143981
1125.32, 519.004, 1, 177631174231
1167.75, 545.27, 1, 177631204490
1187.68, 557.784, 1, 177631234652
1195.51, 563.62, 1, 177631264901
1203.63, 569.564, 1, 177631295063
1208.94, 575.315, 1, 177631325294
1245.21, 591.094, 1, 177631355457
1277.17, 604.755, 1, 177631385705
1295.83, 611.904, 1, 177631415858
1309.71, 615.487, 1, 177631446117
1315.89, 619.369, 1, 177631476270
1320.52, 623.892, 1, 177631506529
1326.37, 628.019, 1, 177631536884
1331.04, 631.567, 1, 177631567055
1338.43, 636.701, 1, 177631597304
1344.19, 640.246, 1, 177631627370
1348.83, 641.454, 1, 177631657716
1352.95, 642.995, 1, 177631687772
1356.1, 644.503, 1, 177631717906
1360.16, 645.53, 1, 177631748252
1363.2, 646.949, 1, 177631778502
1364.5, 649.254, 1, 177631808654
1365.4, 652.18, 1, 177631838904
1366.82, 655.875, 1, 177631869076
1368.03, 658.125, 1, 177631899343
1368.69, 657.721, 1, 177631929495
1369, 656.731, 1, 177631959745
1377.2, 660.233, 1, 177631989889
1404.03, 669.833, 1, 177632020156
1433.21, 678.268, 1, 177632050484
1458.12, 684.755, 1, 177632080513
1479.92, 690.034, 1, 177632110859
1493.8, 693.353, 1, 177632140915
1503.88, 695.916, 1, 177632171261
1509.51, 700.297, 1, 177632201317
1514.92, 703.937, 1, 177632231663
1519.69, 707.387, 1, 177632261825
1523.34, 710.847, 1, 177632292066
1526.35, 714.002, 1, 177632322103
1529.61, 716.072, 1, 177632352449
1531.75, 717.149, 1, 177632382601
1533.16, 716.826, 1, 177632412851
1536.16, 725.926, 1, 177632442995
1541.81, 741.608, 1, 177632473245
1468.94, 763.486, 1, 177632503591
1194.46, 797.618, 1, 177632533744
855.776, 815.367, 1, 177632563906
679.46, 822.252, 1, 177632594191
598.234, 824.546, 1, 177632624344
565.948, 825.249, 1, 177632654594
551.722, 823.053, 1, 177632684649
542.223, 821.457, 1, 177632714995
545.137, 801.857, 1, 177632745148
549.764, 787.797, 1, 177632775361
552.055, 779.73, 1, 177632805418
552.567, 773.364, 1, 177632835773
552.828, 769.437, 1, 177632865926
552.83, 767.219, 1, 177632896156
552.052, 766.115, 1, 177632926318
551.782, 765.142, 1, 177632956568
552.195, 764.383, 1, 177632986923
552.05, 763.363, 1, 177633016979
552.335, 762.18, 1, 177633047141
552.299, 761.909, 1, 177633077390
552.455, 761.452, 1, 177633107552
552.45, 760.299, 1, 177633137784
551.984, 759.07, 1, 177633167937
552.56, 758.522, 1, 177633198195
552.419, 758.029, 1, 177633228541
552.17, 757.349, 1, 177633258597
551.859, 756.28, 1, 177633288943
551.643, 755.053, 1, 177633319105
551.527, 754.173, 1, 177633349354
551.101, 753.656, 1, 177633379392
550.978, 753.002, 1, 177633409711
579.762, 749.264, 1, 177633439864
805.64, 716.793, 1, 177633470095
1055.32, 672.563, 1, 177633500362
1197.33, 644.455, 1, 177633530410
1261.83, 630.961, 1, 177633560765
1293.69, 628.874, 1, 177633590917
1309.92, 622.238, 1, 177633621166
1319.76, 618.341, 1, 177633651328
1322.11, 618.32, 1, 177633681578
1284.37, 572.175, 1, 177633711740
1249.04, 524.558, 1, 177633742068
1224.78, 484.759, 1, 177633772373
1204.54, 459.668, 1, 177633802480
1190.77, 443.81, 1, 177633832544
1185.52, 432.921, 1, 177633862794
1181.31, 425.904, 1, 177633892947
1187.77, 373.247, 1, 177633923205
1193.14, 310.307, 1, 177633953358
1199.19, 265.915, 1, 177633983856
1200.82, 239.282, 1, 177634013760
1203.02, 225.841, 1, 177634044355
1204.6, 219.787, 1, 177634074172
1205.32, 217.742, 1, 177634104669
1183.04, 201.232, 1, 177634134564
1160.12, 182.937, 1, 177634164837
1145.4, 169.098, 1, 177634194999
1136.05, 159.002, 1, 177634225249
1130.24, 153.976, 1, 177634255304
1125.66, 150.887, 1, 177634285650
1133.18, 148.756, 1, 177634315812
1138.62, 143.746, 1, 177634346062
1142.75, 139.41, 1, 177634376408
1146.18, 137.861, 1, 177634406474
1148.8, 136.709, 1, 177634436645
1150.76, 136.447, 1, 177634466894
1151.81, 136.961, 1, 177634497047
1152.62, 137.541, 1, 177634527278
1153.25, 137.574, 1, 177634557624
1153.79, 137.781, 1, 177634587680
1154.13, 137.276, 1, 177634618026
1154.04, 137.094, 1, 177634648082
1154.5, 136.96, 1, 177634678428
1155.16, 136.883, 1, 177634708485
1152.84, 127.136, 1, 177634738849
1149.68, 109.904, 1, 177634769153
1144.77, 95.2813, 1, 177634799173
1141.01, 83.3119, 1, 177634829574
1138.27, 75.0889, 1, 177634859663
1199.28, 73.3253, 1, 177634889967
1325.96, 74.2499, 1, 177634920055
